,Extract Variable,Change Variable Type,Rename Variable,Change Attribute Type,Remove Attribute Modifier,Extract Superclass,Move Attribute,Change Attribute Access Modifier,Add Attribute Modifier,Pull Up Attribute,Pull Up Method,Remove Thrown Exception Type,Move Method,Change Return Type,Rename Parameter,Change Parameter Type,Localize Parameter,Add Parameter,Rename Method,Rename Attribute,Modify Attribute Annotation,Remove Parameter,Add Method Annotation,Change Method Access Modifier,Inline Method,Extract Method,Remove Class Modifier,Remove Parameter Modifier,Add Variable Modifier,Inline Variable,Remove Method Modifier,Add Class Modifier,Replace Loop With Pipeline,Add Method Modifier,Extract And Move Method,Add Class Annotation,Change Type Declaration Kind,Parameterize Variable,Encapsulate Attribute,Replace Attribute With Variable,Move And Inline Method,Modify Parameter Annotation,Remove Method Annotation,Modify Method Annotation,Remove Variable Modifier,Move Class,Replace Anonymous With Lambda,Change Class Access Modifier,Extract Interface,Add Parameter Modifier,Extract Attribute,Rename Class,Replace Variable With Attribute,Modify Class Annotation,Add Thrown Exception Type,Remove Variable Annotation,Move And Rename Method,Reorder Parameter,Change Thrown Exception Type,Extract Class,Push Down Attribute,Add Attribute Annotation,Remove Attribute Annotation,Replace Pipeline With Loop,Move And Rename Attribute,Remove Class Annotation,Extract Subclass,Push Down Method,Merge Parameter,Merge Variable,Split Parameter,Parameterize Attribute,Move And Rename Class,Merge Class
Artemis,87,48,28,23,14,5,2,14,9,13,9,4,2,110,44,56,6,182,14,9,8,10,44,14,240,1303,2,24,46,10,21,1,8,72,174,10,1,10,16,6,2,6,2,4,8,1,10,2,2,18,12,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDFBox,48,68,58,9,5,0,6,9,9,1,0,7,4,24,60,44,0,18,10,9,0,8,40,13,23,439,1,0,0,6,2,2,0,1,110,0,0,4,18,0,2,0,6,0,4,1,0,1,0,0,6,1,22,0,4,2,2,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cassandra,144,66,74,28,18,0,19,27,27,0,0,11,47,58,166,130,2,238,56,29,2,54,78,65,210,824,4,4,4,17,20,6,0,13,146,2,0,40,18,14,6,0,6,2,8,6,8,4,2,4,3,8,12,0,8,0,13,0,0,16,3,16,1,3,1,1,5,1,10,2,9,4,0,2
